idx,sal,txt
32,"곡각살","곡각살(曲脚殺)이란 글자의 뜻 그대로 뼈가 굽는것을 말함이니, 이 殺性이 비추면 팔과 다리에 장애가 생기니 일찌기 病弱한 몸으로 자랄수 있으며, 심하면 부모슬하에 장애를 안고 태어나게 되는 凶殺입니다.

몸이 건강하더라도 一生에 한번이상 큰 사고를 당할 염려가 있는 것이니, 성인으로 성장한 후에도 교통사고나 落傷을 당하여 팔과 다리가 다치게 되는 위험이 있으니, 이 凶殺을 가지고 있는 사람은 一身을 돌보는데 유념해야 할 것입니다.

그 구성을 본다면, 柱中에 乙木,己土,巳火,丑土의 기운이 한자리를 함이니, 이를 보아 쉽게 알 수 있을 것입니다."
33,"고란살","孤鸞殺(고란살)이란 신음살(呻吟殺) 또는 공방살(空房殺)이라고도 불리는 凶殺(흉살)입니다.
특히 여명(女命)에 크게 좌우되는 殺性이니, 남자에게는 그 힘이 상대적으로 미약한 殺性입니다.

이 凶殺(흉살)을 가진 여자는 살성의 힘이 남편에게까지 미치니,
고란살의 기운이 남편에게 전가되어 남자가 눈을 한곳에 두지못하여 부인아닌 첩을 찾게되며 그 기운으로 부부 이별을 하게 되니,

여자는 대부분 초혼에 실패를 하는 것이며, 再嫁(재가)를 하지 않으려 마음을 굳게 다짐하기 쉬우며,
一生(일생)에 마음 둘 곳을 찾기 어려우니 외롭다 할것입니다.

고란살의 기운이 강하면, 남편에 의지하지 않을것이며
그 행동이 강해지는 것이며 한발 더 나아가 일을 찾아 돈을 벌어 自立更生(자립갱생)할 것이니,
수완이 좋고 심성이 강직할것이나, 안으로의 人德(인덕)이 부족한것은 어찌할 수 없는 것입니다.

글자의 뜻 그대로 鸞(란)이란 잉꼬와 기러기, 원앙과 같은 夫婦琴瑟(부부금슬)을 상징하는 새를 말함이니,
이름자 만으로도 이 殺性의 凶함을 알수 있는 것입니다.

그 구성을 보자면,
甲寅日生, 乙巳日生, 丁巳日生, 戊申日生, 辛亥日生이 孤鸞殺의 凶殺이 있음입니다.
이를 十神으로 보아도 쉽게 알수 있듯이,
배우자를 破像(파상)하는 것이니 그 피해를 알 수 있으나,
柱中에 官性의 힘이 따로 잘 자리하고 있어 殺性을 破(파)한다면
고란살의 有無(유무)에 관계없이 夫婦偕老(부부해로) 할 수 있는 것임을 잘 알아야 할 것이니,
凶殺의 존재만으로만 사람의 運을 봐서는 안될것입니다.

孤鸞(고란)의 殺性을 官性이 破하며, 印星이 이를 돕는다면,
오히려 女性으로서 성공한 사업가가 될 수 있다는 것임을 묵과해서는 안될것입니다."
34,"괴강살","魁岡이란, 본시 북두칠성의 가장 앞자리에 서있는 밝고 강한 첫 별을 지칭하는 것으로 쓰인것이나, 상용한자 표기상 산등성이, 봉우리 강字을 쓴것이라 할 수 있습니다.
글자의 강함으로도 알 수 있는것이니, 殺性의 힘 또한 우두머리와 같아 그 힘이 강함은 물론이며
사람에 따라 특히, 여성에게는 이 힘이 吉보다는 凶으로 미치기 쉽기 때문에 이 살성을 크게 반기지 못하는 것이며, 두렵고 꺼려하는 것입니다.

吉星과 凶星은 종이 한장의 차와 같으니, 吉星이 太過(태과)하면 도리어 凶殺의 칼날이 나를 향하게 되는 이치이며,
반대로 殺性이 반드시 흉살의 기운만을 내포하는것도 아니라는것을 따로 알아두어야 할것입니다.

魁岡殺(괴강살)이란 모든 吉凶을 극단으로 까지 힘을 미치게 하는 殺性을 가진 강력한 殺이라 할 수 있습니다.
본시 魁岡이 있는 사람의 특징은 머리가 총명하며 기세가 당당한 것이니 사회의 앞에서 행동하는 사람이라 할것입니다.

이 殺은 사람의 행동에 큰 영향을 미치는 殺로서 일반적으로,
남자四柱에 魁岡殺이 많으면 강한 행동력으로 일의 선두에 서는것이니 부귀하고 애국열사나 義士(의사)가 되는 像이라 보며,
여자에게 이 殺이 영향을 미치면 고집이 쎄고 홀로 사는 과부팔자라 말하기도 합니다.

그러나, 이는 편협된 생각이니, 이 殺의 힘이 지대한 것은 사실이나, 凶殺은 凶殺인 바,
남녀모두에게 이 殺性이 있음으로 인해 성격이 외고집으로 향하며,
남을 억압하고 힘으로 제압하려는 성향을 띄게 되는것입니다.

魁岡殺에서 중요한 것이 沖의 성질과 合의 성질을 이루는 바탕을 보아야 하는 것이니,
이를 잘못 알고 이 殺만의 有無로 배우자에게 凶事가 생기는것도 아니며, 남자가 富貴하게 되는것도 아니며,
여자가 과부의 운명을 뛰게되는것도 아니니, 거듭 조심하여 殺의 힘을 판별하여 보아야 하는것입니다.
이 殺性을 가진사람이 干與之同하며 月令에 官星을 내려보는 像이면,
夫婦宮이 흉해지는 像이되니, 이를 염려하며 살펴야 할것입니다.

"
35,"귀문관살","鬼門關殺이란 정신적인 측면으로 凶殺의 힘이 작용하기 쉬운 것이니, 내적 자아와의 큰 번뇌와 갈등이 쌓여

異性(이성)간에 불신과 원망이 쌓이고,
夫婦(부부)간에 서로를 믿지못하여 의처증과 의부증이 생기며,
故婦(고부)간에 이유없는 시어머니와의 갈등의 골이 깊어가며,
同性(동성)간에 애정이 싹트는 등의 결과로 힘을 뻗치는 凶殺입니다.

이 殺의 작용으로 정신쇠약에 걸리기 쉬우며 불감증과 신경계통의 혼탁함이 생기는 것은 물론이며, 신경쇠약에 헛것이 보이기까지 하게되는것입니다.

이 흉살은 子日生이 酉金을 만나거나, 酉日生이 子水를 만나면 생기는 식으로 鬼門關殺의 영역이 정해진다 할 것입니다.

日地와 年地에서 鬼門關殺이 나오면 조상을 원망하며 同性愛로 인한 번민이 생기는 것이며,
日地와 月地에 이 殺이 임하면 부모형제간에 신경질적이며, 가족과 부모를 원망하게 되는것입니다.
日地와 時地에 鬼門關殺이 나오면 처자로 인한 각박관념이 생기는 것입니다.

보통의 경우 殺性(살성)이 크게 응축되지 않았다해도 이 기운이 있는 사람은 매우 영리하며, 까탈스럽고 신경질적인 성향을 많이 보이게 됩니다.
더우기 日干(일간)이 身弱할수록 더욱 흉살이 침투하기 쉬우며, 난데없이 갑지기 신경쇄약과 같은 정신적 고통을 당하게 되는凶殺인 것입니다.
위험한것은 관살의 힘이 크게 들어오는 해운을 만나는것이며,
大運이 이를 막아주지 못한다면, 길게는 3년이상 호전되지 못하는 병치례를 할수있음을 주의해야 할것입니다.

또한 十神과 各柱의 강약에 따라, 그 성질의 强弱(강약)이 크게 좌우되어 달라질 것이니,
이를 바로 알지 못하고
凶殺의 有無만으로 판단하여 살성이 자리하지못하는 사주임에도 불구하고
귀문관살의 眞意(진의)를 헛되이 판단해서는 안될 것을 분명히 알아두어야 할것입니다.

그러니, 이 殺이 있다하여 모두가 신경질적이고 심신이 병약해지는 것은 아니니, 柱中의 힘의 근간이 뿌리를 내림을 보고 이 殺을 논해야 할것입니다."
36,"농아살","聾兒殺이란 몸이 심약하여 病에 걸리기 쉬우며, 특히 耳病이 있든지 이상이 있기 쉬우며,
심하면 귀먹어리가 될 수 있는 凶殺입니다.

聾兒殺이 있다하여 귀에 한하여 몸이 허약한 것이 아니며,
때로는 각각의 기운에 따라 柱中의 强弱과 地支의 빈약함으로인해 흉살의 기운이 파고들게 되는것입니다.

聾兒殺의 구성을 잠시본다면,
寅午戌年生이 卯時에 출생하며,
申子辰年生이 酉時에 출생하며,
亥卯未年生이 子時에 태어나며,
巳酉丑年生이 午時에 태어난 사람에 해당이 된다 할것입니다.
그러나, 이는 三合年支와 生時로 구분이 되는 것이니,
이 凶殺이 있다 하여, 쉽게 病弱한 사람이라 볼 수는 없는 것입니다.

오히려 농아살의 기운을 살피는 기준은 日干이 心弱하여 힘을 쓰지 못하는 상태인가를 살펴봐야 하는것입니다.
쉽게 말해 印綬가 쇠퇴하였는지 官殺이 登極하였는지를 찾아 살펴야 한다는 것입니다.

그러니, 四柱 구성을 바로 알지 못하면 이 殺또한 바로 볼수 없는 것이니,
쉽게 殺性만으로 사람의 건강을 봐서는 안될것입니다."
37,"백호살","白虎殺이란 一身에서 血(혈)을 보는일이 발생하게 되는 것을 말하니,
일상생활 중 예측할 수 없는 사고가 발생하여 그 禍(화)가 몸으로 나타나는 것이라 할 수 있습니다.

그러나 태어나면서 부터 몸에 큰 흉터가 생겨 있다면, 큰 어려움없이 이 殺의 위험을 모면할 수도 있는 것이니,
어찌보면 神妙(신묘)한 殺인 것이며, 病弱한 몸을 가진 것이 오히려 장수를 하게되는 힘에 까지 미치는 殺입니다.

白虎라는 말의 근간은 옛 易經(역경)가운데 六獸(육수)에서 나온 말이라 할수 있습니다.
그 구성을 찾는다면 구궁법(九宮法)에 의해 이 殺의 有無를 판단할 수 있으나,
柱中의 十神의 生剋관계를 알지 못하고는 이 殺의 위험을 논할 수 없을 것입니다.

九宮法이란 쉽게 이사방위에서 奇門遁甲에 이르기 까지 그 사용의 범위가 넓은 학문이라 할 수 있는 것입니다.,
九宮을 보자면 天綠, 眼損, 食神, 破, 五鬼, 合食, 進鬼, 官印, 退食등이 순행을 하는것입니다.

이를 토대로 六獸의 白虎와 九宮의 오귀(五鬼)를 합하여 이러한 凶殺이 있는 것을 판단하는 것이며,
柱中의 生剋을 合하여 함께 판단하는 것이니,
단순히 白虎殺이 있어 나쁘다고 만은 볼수 없는 것입니다.

백호살이 柱中에 강하게 힘을 받거나, 이웃하여 羊入(양입)되어 있다면,
그 흉함이 자신의 몸을 떠나, 내외적으로 그 기운이 크게 뻣치게 되는것인데,
흉살이 형(刑), 충(沖)되거나, 강하게 힘을 받는 像에서 空亡(공망)이 된다면, 그 작용이 두배, 세배에 이르기 까지 커지는것인데,
이로말미암에, 一家(일가)가 火魔(화마)의 흉수에 당하는것은 물론이며, 어린자식의 길까지도 막아서는 흉함으로 커지는것입니다.

六親을 보더라도 印綬(인수)에 살성이 크게 물리며, 刑과 沖을 크게 받는다면, 때에 이르러 모친이 사망하게되는 운을 격으며,
比肩劫(비견겁)에 이 살성이 크게 흉을 떨치면, 형제자매중에 그 禍를 얻게 되는것이며,
財聖(재성)에 이 살성이 凶을 떨치면, 처첩이 産亡 또는 自殺을 하게되니, 참으로 흉하고 흉한 기운이라 할것입니다.

옛부터 살성의 흉함을 막기위해 곡식과 재물을 풀어 救濟積攻(구제적공)하며, 지성을 다 하였으니,
반드시 이를 이에 견줄 수 만은 없겠으나, 백호살의 무서움을 看過(간과)하지 마시기 바랍니다."
38,"부벽살","釜劈殺이란 뜻하지 않는 일이생겨 재산이 破해지고 없어지며,
일의 大小를 분별하지 못하는 상황이 도래해 사치아닌 사치가 생기며,
낭비가 커감이며 사고아닌 사고가 발생하여 쉽게 돈을 모으지 못함이니,

크게 본다면 금전과 관계된 財産(재산)상의 손실이 끊임없이 생겨남으로 가난을 면하기 어렵게 되는 凶殺인 것입니다.

이 殺性은 日干(일간)을 어지렵혀 힘을 크게 빼내는 작용으로 들어올때 도박과 낭비벽이 더욱 거세지는것이 특징인것이며,
유혹에 빠져 적을 친구로 받아들이게 되니, 해운이 印綬를 어지럽힐 때는 文書(문서)상의 큰 손실을 받게되는것 또한,
특징이 되는 흉살인 것입니다.

이 殺性의 비중으로 인해 크게는 妻子가 이별하며 가정이 파탄되는 작용으로까지 나타나는 凶殺이라 할것입니다.

이 殺은 子午卯酉月生이 柱中에 巳火를 만남으로 생기며,
寅申巳亥月生이 柱中에 酉金을 만남으로 생기며,
辰戌丑未月生이 柱中에 丑土를 만나서 생기는 凶殺입니다.

그 이유는 十神을 통해 본다면 간단히 알아볼 수 있듯이 生이 旺하려 하는사이에 比劫의 방해를 받고 있음이라 할것입니다.

이 凶殺은 他殺과 같음이니, 柱中의 그 뿌리가 견고하고 쇠한 상태에 타라 强함과 弱함으로 구분되는 것이니,
이또한 釜劈殺의 有無로 만은 四柱를 판단할 수 없음을 바로 알아야 할것입니다."
39,"상부살","이 殺이 四柱中에 있으면 남편을 잃고 아내를 잃게되는 凶殺입니다.
흔히 상부살을 과숙살(寡宿殺)이라 칭하기도 하며, 상처살을 고진살(孤辰殺)이라 부르기도 합니다.

남자에게는 喪妻殺이 있게되면 작게는 부부간에 고독하게 되며, 크게는 아내와 死別을 하게 됩니다.
여자에게도 그 힘이 미치는 크기는 같다 할 것입니다.

이 殺性은 年柱의 地支와 柱中의 地支를 통해 알아볼 수가 있는 殺입니다.
이 殺性이 12神殺의 화개살과 공존하게 되면 독수 공방하게 되거나,
비구니 또는 수녀로 자라게 되는 성질또한 강한 殺입니다.
그러니, 종교에 헌신하는 사람의 사주를 보면 이 殺性이 많다하는 것이 또하나의 특징이라 할 수 있는 것입니다.

이 殺性의 구성을 본다면,
寅卯辰年生이 巳火를 만나면 喪妻殺이 나오며, 丑土를 만나 喪夫殺이 나오며,
巳午未年生이 申金을 만나면 喪妻殺이 나오며, 辰土를 만나 喪夫殺이 나오는 것입니다.
신유술년생이 해수를 만나면 喪妻殺이 나오며, 未土를 만나 喪夫殺이 나오며,
해자축년생이 인목을 만나면 喪妻殺이 나오며, 戌土를 만나 喪夫殺이 나오는 것입니다.
이는 十神의 구성으로 보아 쉽게 알 수 있는 것이나,
그 에는 따로 문제가 있는 것이니,
일반적으로 알고 있는 年支의 힘을 다시 봐야하는 것이니, 日柱와 月柱를 재대로 살펴봐야 殺性의 크기를 알 수 있는 것입니다.

他 殺과 마찮가지로 이 殺性의 有無 만으로는 속단해서는 않된다는 것을 알아야 할것입니다."
40,"오귀살","五鬼殺이란 三合生年을 기준으로 보아 柱中에 殺性이 있는가는 보는 것이라 할수있으니,
이 殺性을 지니고 있으면, 一生을 살아가는데 풍파와 변고가 많으며,
우환과 지병으로 인한 변고가 발생하니,
크게는 官災口舌이 끊이지 않음이요, 損財가 발생하게 되니, 참으로 고되고 고된 凶殺이라 할것입니다.
또한 이 殺性이 있으면 雜鬼가 가까이 할 수 있는 것이니, 심하면 獨守空房에 孤獨一餘라 하겠습니다.

그 구성을 보자면,
亥卯未年生이 子水와 丑土를 만남으로 이 殺性이 나타남이며,
寅午戊年生이 卯木과 辰土를 만남으로 이 殺性이 나타남이요,
巳酉丑年生이 午火와 未土를 만남으로 이 殺性이 나타남이며,
申子辰年生이 酉金과 戌土를 만남으로 五鬼殺의 殺性을 볼수있는것입니다.

그러나, 柱中의 굳건함이 있는 四柱는 그 힘이 약하게 되는 것이니, 殺性이 있다하여 모두가 凶한 것은 아니니,
이를 바로보고 판단해야 할것입니다.

제 아무리 살성이 강하게든다해도 타주의 기운이 이를 물리칠수있는것이니,
때가되어 해운이 살성을 크게 일으킨다해도 원국내의 十神의 기운이 이를 제압하고 있는지를 따지며 殺性을 論해야 한다는 것입니다."
41,"원진살","怨嗔殺이란 말 그대로 원망하고 성을 내는 것을 말하니,
이 殺性이 비춘 사람은 不睦, 不和, 원망, 불만등이 저절로 나오니,
쉽게 다툼이 생기며, 친지와 지인간에 등을 돌리게 되는 참으로 凶하고 凶한 殺입니다.

이 凶殺이 柱中에 자리하면, 마음에 없는 말을 하게되며, 스스로의 절제가 되지 못함이니,
뒤에 크게 후회하고 슬픈 마음을 감추지 못하게 됩니다.

그 구성을 찾아 본다면,
子水가 未土를 만남이요, 丑土가 午火를 만남이요, 寅木이 酉金을 만남이요,
卯木이 申金을 만남이요, 辰土가 亥水를 만남이요, 巳火가 戌土를 만남이라 할것입니다.

年柱와 月柱에 이 凶殺이 드리우면 부모가 不和하며, 사회에 뿌리를 내리기 어렵다 할것이며,
月柱와 日柱에 이 凶殺이 드리우면 가족간에 不和가 생긴다 할것이며,
日柱와 時柱에 이 凶殺이 드리우면 妻子간에 不和가 생기는 것입니다.

또한, 주중에 辰戌丑未(진술축미)를 함께 동반한 사주는 더욱 원진의 기운이 클 것이며,
男命보다는 女命에서 원진의 작용이 크게 일어나기도 합니다.
生日과 生時에 巳와申의 沖이 있다면, 구금을 당할 위혐이 크며,
生日과 生月에 寅과 巳로 刑殺이 되면, 고독이 가까운 사람이 될것입니다.  
日과 月과 時에 戌亥가 드리우면, 집을 떠나, 신앙심을 크게 태울것이며,
日干이 合하고 日支가 刑殺되면 정신적으로 크게 쇠약하니, 신경계통을 조심해야 할것입니다.  

그러나, 柱中에 怨嗔의 凶한 기운이 合沖破를 만나 그 상이 破하게 된다면 凶殺의 위험을 벗어날 수 있으니,
이를 반드시 알고 넘어가야 할것입니다."
