Txt,index,idx
"이들 두 사람은 상당히 잘 어울리는 한쌍으로써 쥐띠 남성은 원숭이띠  여성의 매력과 영리함에 이끌리게 되고 원숭이띠 여성은 쥐띠 남성의 수완있는 태도와 깔끔한 성격에 감복하여 서로간에 헌신적인 사랑과 봉사로써 단란한 가정을 이끌어 나갈 수 있을 것입니다.  

또한 두 사람 모두 성취욕이 대단히 강하고 상대방의 장점을 최대한 살려서 성공할 수 있도록 도와주며 서로간의 결점을  넓은 이해심으로 감싸 나가기 때문에 두 사람은 서로 같은 일을 할 수도 있고 또 아무런 어려움없이 서로 다른 일과 직업을 선택할 수도 있겠습니다.  

한편 이들 두 사람은 성욕이 아주 강하고 독점력이 강해서 다른 이성에게 눈돌리는 것을 용서치 않으며 서로에게 충실하려고 노력하는 스타일입니다.
그러나 자존심이 강하고 고집이 너무 세어서 한번 다투면 잘 풀어지지 않고 그 여파가 오래 갈 수 있으니 이 점만 서로 참작하여 마찰을 빚지 않도록  노력한 다면 잘 맞는 궁합이라고 할 수 있겠습니다.","gunghab_02_자신",334
"이들 두 사람은 서로 독특하고 개성있는 성격을 가지고 있으므로 두 사람이 가정을 꾸미고 조화를 이뤄 나가기 위해서는 많은 노력이 필요할 것으로  보입니다.

범띠 남성은 다소 거칠고  우왁스럽지만 상당히 적극적이면서도  충동적이어서 토끼띠 여성으로 하여금 겁을 집어  먹게도 하지만 남성의 호소력있는  태도에 이끌리어 깊은 사랑에 빠지게 됩니다.  
토끼띠 여성은 감상적이면서도 기회주의적인 면이 있고 감수성이 예민하여 범띠 남성의 일거수 일투족에 따라  울고 웃는 감정의 기복이 심한 편이어서 때로는 범띠 남성으로 하여금 당혹감에  빠지게 합니다. 

그러나 범띠 남성과 토끼띠 여성이 만나게 되면 서로간에 성격차이는 크다 하겠으나 추구하는 목표와 생활방식이 흡사해서 살아가면서 큰 마찰은 없겠습니다.  
또한 두 사람이 부부로 맺어지게 되면 잘 어울리는 한쌍으로써 역할 분담이 분명하고 각자 자기  소임을 다 하므로 재물이 풍성하고  부귀 영화가 뒤따르며 자손에게도 경사가 있는 좋은 만남이라고 할 수 있겠습니다.","gunghab_02_인묘",353
"이들 두 사람은 서로의 장점을 살려 줄 수만 있다면 아주 잘 어울리는  한쌍으로써 부기 영화를 기약할 수 있겠지만 서로간에 부정적으로 생각하기 시작하면 두 사람 사이에 대화가 두절되어 많은 어려움과 고초가 따르게 됩니다.  
토끼띠 남성은 커다란 잠재 능력을 가지고 있어 가정의 화목이 뒷받침 되어 준다면 큰 성공을 이룰 수 있고 뱀띠 여성은 팔방미인에다 사교성이 좋고 내조를 잘하는 편이어서 흠잡을 데가 없다고 할 수 있겠습니다.  

따라서 토끼띠 남성과 뱀띠 여성은 한쌍의 부부로 탄생하게 되면  두 사람 모두 세련된 취미를  가지고 있고 천성적으로 아름다움을 좋아하고 삶을 즐기는 스타일이라 언제나 신혼 같은 분위기로 살아갈 수 있을 것입니다.
그러나 한편으로는 두 사람 모두 허황된 꿈을 쫒으며 사색적으로 흐르는  경향이 있기 때문에 실패를 초래하여 크나큰 어려움에 빠질 수도 있으니 꿈과 현실을 확실히 구별하여 진취적 기상으로 성공된 삶을 사시기 바랍니다.","gunghab_02_묘사",367
"이들 두 사람간에는 합이 들어서 함께 생활하게 되면 아름다운 빛을  발하게되고 부귀영화가 무궁하니  아주 이상적인 좋은  궁합이라고 할 수  있겠습니다.  
두 사람 다 큰 야망을 가지고  있어서 새로운 세계를 구축하기 위하여  노력을 아끼지 않으며 아무리 어려운 난관이 닥치더라도 함께 힘을 합하여 기필코  정복해 내고 맙니다.  

용띠 남성은 남다른 지도력을 가지고 있어 많은 사람위에 군림하며 부귀 공명을 떨치게되니 아내로 부터 사랑과 존경을 받게되고 원숭이띠 여성은 팔방미인격이라 어느 한곳  막히는 구석이 없고 영리하며  융통성이 좋아 남편으로 하여금 매력을 느끼게 하고 절대적인 사랑을 받게 됩니다.  

따라서 이들 두 사람은 아름다운 가정을 꾸려 나갈 수 있는 천생연분의 배필이지만 이런 좋은 궁합도 서로간에 화합을 못하고 믿음을 상실하게 되면 천길 낭떠러지 속으로 빠져 버릴 수 있다는  점을 명심하여 한마음 한뜻이 되도록  더욱 노력하시기 바랍니다.","gunghab_02_진신",382
"이들 두 사람은 극과 극을 달리기 때문에 서로간에 믿음이 부족하고  존중하는 마음이 없으며 서로 의심을 품게되어 미움과 원망을 커지게 되므로 좋은  궁합이라고 할 수는 없겠습니다.  
뱀띠와 돼지띠 간에는 상충살이 있어서 쓸데없이 남의 걱정을 많이하고 모든 일에 지체와 반복이 심하며 좋은 일 해주고 뺨  맞는 식으로 손해를 많이 겪게 됩니다.  
뱀띠 남성은 강한 결단력과 의지력을 갖고 있는 반면 돼지띠 여성은  태평스러우면서도 결백한 성격을 가지고  있습니다.  

뱀띠 남편은 아내가 단순하면서도  나약하며 의심이 없어 남에게 속임을 당해 손해를 자주 입게 되므로 심히 못 마땅하게 생각하며 돼지띠 아내는 남편의 복잡 미묘하고 의심 많은 성격과 자신의 진지한 마음에 냉담하게  반응하는 무관심 때문에 행복을 느끼지 못하고 불평 불만을 늘어 놓게 되므로  서로간에 성격 차이를 좁히고 부부화합에 힘을 기울여야 원만한 가정생활을 해 나갈  수 있을 것입니다.","gunghab_02_사해",397
"이들 두 사람은 서로 관심사가 비슷하고 공통의 목적을 위하여 어느  정도까지는 협력이 가능하지만 서로간에 강한 유대감이 없고 이해관계가 복잡하기 때문에 잘 어울리는 궁합은 아니라고 할 수 있겠습니다.  

두 사람 다 어떤 장애든지 뛰어넘을 수 있을 만큼 적응력이 강하고 머리회전도 빠르지만 서로  상대방을 장악하여 우위를 지키려고 하다보니  서로에 대한 존중심이 없고  경멸감이 싹트게 됩니다.  
말띠 남성은 현실주의적이고 기회주의적이며 목적을 위해서는 수단 방법을 가리지 않으며 변덕스러운 면이 많아 아내로 하여금 갈피를 못 잡게하고 원숭이띠 여성은 다재다능하고 총명하며 솜씨도 좋지만 변통술이  능수능란해 남편을 속이거나 기만하는 경우가 많아 종종 노여움을 사게됩니다.  

이렇듯 이들 부부는 서로의 눈밖에 나는 행동으로 갈등을 고조시키고 관계를  악화시키며 서로를 순종시키려고 끊임없이 암투를 하다보니 불행을 자초하게  되므로 기왕에 맺어진 인연 한숨과 눈물로 얼룩지게 만들지 말고 조금만  양보하고 이해하며 상대방을 존중해 주어서 단란하고 행복한 가정으로 가꾸어 가시기 바랍니다.","gunghab_02_오신",406
"이들 두 사람은 서로간에 양보를 해 가면서 가정의 화목에 온 정성을 다  기울이기 때문에 이들 사이에선 분쟁을 거의 찾아볼 수 없으며 건전하고  모범적인 부부가 될 수 있는 좋은 궁합이라고 할수 있겠습니다.  
양띠와 돼지띠 간에는 합이 들어서 웬만한 갈등은 사랑으로 카바해 나가며 남편과 아내의 책임과  의무를 충실히 해 나가기 때문에 이 가정에서는 웃음꽃이 활짝 필 것입니다.  

돼지띠 여성은 솔직하고 결백하면서도 사교적인 성격이라 과묵하면서도 감수성이 예민한 양띠 남편의 고집스런 개성 때문에 속이 상하는 경우가 종종있지만  겉으로 내색하지 않고 잘 참아 견디며  안으로 소화해 내기 때문에 문제될  것이 없으며 양띠 남성은 자기 속마음을 잘 내보이지 않는 내성적인 성격으로  따스한 애정과 협력을 원하는 아내의 기대를 저버리지 않고 항상 관심을  가져주기 때문에 아내로부터 변함없는 사랑과 존경을 받게 됩니다.  

따라서 이들 두 사람은 다시 없는 좋은 만남으로써 즐겁고  행복한 생활 속에 번영을 약속할  수 있겠지만 다만 한가지 서로 고집이 너무 세어서 자존심 싸움이 길어질 수 있으니 이점만 주의한다면 더 바랄 것이 없는 좋은 인연입니다.","gunghab_02_미해",421
"이들 두 사람은 책임감이 강하고 서로에게 헌신적이며 의사 소통이 잘  이루어지기 때문에 오해가 없으므로 다정하고 행복한 부부가 될 수 있는 좋은 궁합입니다.  
닭띠와 소띠간에는 합이 들어서 마음이  잘 맞고 뜻이 잘 통하여 어떤 어려움이 닥치더라도 무리없이 원만하게 해결해 나갈 수 있습니다.

이들 두 사람이 만나면 닭띠  남성은 용감하면서도 개방적이고 솔직해서  소띠 아내의 내성적이고 소극적인 성격을 보완해 줄 수 있습니다.  
또한 닭띠 남편은 부지런하고 진지하며 밝고 낙천적인  성격이라 꿋꿋하고 의지가 굳은  소띠 아내의 위신을 세워주고 자존심을 지켜주기 때문에 아내는 남편을 믿고 의지하며 항상 고마움을 느껴 더욱 헌신적으로 떠받들어 주게 됩니다.

따라서 이들 두 사람은 다시 없는  좋은 인연으로써 이들 가정에는 항상  웃음 꽃이 피어나고 화목하고 다정한 생활속에 재물이 차츰 불어나고 명예가 올라가게 됩니다.  
그러나 두 사람 사이에 대화가 두절되고 상호 믿음을 상실하게 되면 이렇게 어려운 관계도 없으니 원수같은 사이가 되지 않도록 항상 가슴을 열고 사랑의 대화를 나누시기 바랍니다.","gunghab_02_유축",435
"이들 두 사람은 서로간에 믿음이 없고 상대를 이해하려는 노력이 부족하여  화합이 잘 이루어지지 않으며 원만한 가정 생활을 해 나가기가 쉽지 않기 때문에 좋은 궁합이라고 할 수 없겠습니다.  

개띠와 용띠간에는 상충살이 있어서 서로 싸우며 다투는 날이 많고 마음과 뜻이 일치되지 못하며 각자 자기의 주장만 강조할 뿐 상대방의 마음을 헤아려 주지  않기 때문에 마음 고생이 심하며  무척 어려운 관계라고 할 수 있겠습니다.  

개띠 남성은 용띠 아내가 너무 대담하고 고압적인 성격을 갖고 있으며 고집이 세어서 모든 일을 자기 뜻대로 하려고 한다고 불만을 품게 됩니다.  
반면 용띠 여성은 개띠 남편이 너무 과묵하고 유별난 성격을 갖고 있으며 신경이 날카로와서 사사건건 자기의 뜻을 가로막는다고 불평합니다.

이렇듯 이들 두 사람은 상대의 요구를 잘 받아들이지 않고 자기의 주장만 내세우기 때문에 좋은 관계를 유지해 나가기가 쉽지 않겠지만 서로간에 조금씩  양보하고 상대방을 위해 내 자신을 희생하고 봉사하는 마음만 가져 준다면  사회에 이름을 떨치며 큰 부자로 살 수 있을 것입니다.","gunghab_02_술진",450
"두 사람 모두 상대에게 진정한 관심을 기울이면서 상의하고 협조해 가면서  친밀한 관계를 지속해 나갈 수 있으므로  아주 좋은 궁합이라고 할 수  있겠습니다.  

돼지띠와 양띠간에는 합이 들어서 서로 마음의 일치가 잘되고 뜻이 잘 맞기 때문에 화목한 생활속에 무난히 성공을 이루게됩니다.  
돼지띠 남성은 강인하면서도 정중하고 생각이 깊어서 부드럽고 동정심이 많은 양띠 아내의 기분을 즐겁게 해 줍니다.  
양띠 여성은 어머니와 같은 마음으로 남편을 대하고 이세상에서 가장 소중한 존재로 생각합니다.  

돼지띠 남편은 보호본능이 강하고 소유욕이 강하며 관대하면서도 단순해서 양띠 아내의 사랑을 헌신적으로  생각하여 더욱 귀중한 존재로 여기게되고 그런 남편이 믿음직하고 고마워서 양띠  아내는 더욱 최선을 다하니 이 가정은 나날이 발전하여 부귀 영화를 누리게 됩니다.

그러나 한편으로는 두 사람다 고집이 세고 자기만 생각하는 경향이 짙어  양보하는 마음이 결여되면 어려운 관계도 될 수 있으니 이 점만 주의하면 아주  행복하고 다복한 가정이 될 수 있겠습니다.","gunghab_02_해미",465
